SEGID,DY_VOL,FT,ATYPENAME,LANES,YEAR,FAC_WDAVG,modAadt,aadtAdjFactor,modForecast
0089_406.6,61693.5,14.0,Transition,4.0,2028,1.0924,56475,-2561.0,54000.0
0089_407.0,51743.6,14.0,Suburban,4.0,2028,1.0924,47366,5535.0,53000.0
0089_408.1,48539.5,14.0,Suburban,5.0,2028,1.0924,44433,5121.0,49500.0
0089_408.4,25358.3,2.0,Suburban,4.0,2028,1.0946,23166,6851.0,30000.0
0089_409.3,30657.2,2.0,Suburban,4.0,2028,1.0946,28007,2477.0,30500.0
0089_409.6,29513.4,2.0,Suburban,4.0,2028,1.0946,26962,3564.0,30500.0
0089_410.0,30262.9,2.0,Suburban,4.0,2028,1.0924,27703,2829.0,30500.0
0089_410.2,31695.8,2.0,Suburban,4.0,2028,1.0946,28956,2830.0,32000.0
0089_410.5,29150.2,2.0,Suburban,4.0,2028,1.0924,26684,7306.0,34000.0
0089_410.7,25559.0,2.0,Suburban,4.0,2028,1.0924,23397,10178.0,33500.0
0089_411.1,24087.6,2.0,Urban,4.0,2028,1.0924,22050,11479.0,33500.0
0089_411.3,28688.4,2.0,Urban,4.0,2028,1.0924,26261,7160.0,33500.0
0089_411.7,20344.5,2.0,Urban,4.0,2028,1.0946,18586,13801.0,32500.0
0089_412.2,15043.7,2.0,Urban,4.0,2028,1.0946,13743,17476.0,31000.0
0089_412.4,23376.5,2.0,Urban,5.0,2028,1.0946,21356,10415.0,32000.0
0089_412.9,29827.8,2.0,Urban,5.0,2028,1.0946,27249,7236.0,34500.0
0089_413.1,24742.8,2.0,Urban,5.0,2028,1.0946,22604,11470.0,34000.0
0089_413.3,26553.3,2.0,Urban,5.0,2028,1.0946,24258,10083.0,34500.0
0089_413.6,25727.9,2.0,CBD-like,6.0,2028,1.0946,23504,10335.0,34000.0
0089_413.9,26025.7,2.0,Urban,6.0,2028,1.0946,23776,-4157.0,19500.0
0089_414.2,22544.2,2.0,Urban,6.0,2028,1.0946,20595,-1271.0,19500.0
0089_414.4,27495.2,2.0,Urban,6.0,2028,1.0946,25118,11417.0,36500.0
0089_414.5,30676.2,2.0,Urban,6.0,2028,1.0946,28025,8285.0,36500.0
0089_414.9,28396.1,2.0,Urban,6.0,2028,1.0946,25941,10033.0,36000.0
0089_415.4,29647.8,2.0,Urban,6.0,2028,1.0946,27085,9439.0,36500.0
0089_415.9,27536.6,2.0,Urban,6.0,2028,1.0924,25207,11135.0,36500.0
0089_416.5,16637.7,2.0,Suburban,4.0,2028,1.0924,15230,-3083.0,12000.0
0089_417.0,15231.8,2.0,Suburban,4.0,2028,1.0924,13943,2280.0,16000.0
0089_417.4,27235.1,2.0,Suburban,4.0,2028,1.0924,24931,-6272.0,18500.0
0089_417.9,27621.2,2.0,Suburban,4.0,2028,1.0924,25284,-6725.0,18500.0
0089_418.2,22294.3,2.0,Suburban,4.0,2028,1.0924,20408,-1983.0,18500.0
0089_418.6,19568.1,2.0,Suburban,4.0,2028,1.0924,17912,89.0,18000.0
0089_419.3,21200.3,2.0,Suburban,4.0,2028,1.0924,19407,-952.0,18500.0
0089_420.1,17122.8,2.0,Suburban,4.0,2028,1.0924,15674,-5520.0,10000.0
0089_420.3,10744.5,2.0,Suburban,4.0,2028,1.0918,9841,-677.0,9200.0
0089_421.7,7248.5,2.0,Transition,4.0,2028,1.0918,6639,2204.0,8800.0
0089_422.5,13526.0,2.0,Transition,4.0,2028,1.0918,12388,411.0,13000.0
0089_422.7,13534.3,2.0,Rural,4.0,2028,0.9593,14108,-1012.0,13000.0
0089_423.4,18306.8,2.0,Rural,4.0,2028,0.9593,19083,-8272.0,11000.0
0089_423.8,16869.6,2.0,Rural,4.0,2028,1.0918,15451,-3920.0,11500.0
0089_425.0,15172.2,2.0,Transition,4.0,2028,1.0918,13896,-2619.0,11500.0
0089_427.1,14392.6,2.0,Transition,4.0,2028,1.0918,13182,-909.0,12500.0
0089_427.7,14005.9,2.0,Transition,4.0,2028,1.0918,12828,-604.0,12000.0
0089_428.1,13587.4,2.0,Transition,4.0,2028,1.012,13426,-1269.0,12000.0
0089_428.8,14661.1,2.0,Transition,4.0,2028,0.9593,15283,-4268.0,11000.0
0089_430.3,16252.7,2.0,Transition,4.0,2028,1.0918,14886,4285.0,19000.0
0089_432.1,18118.9,2.0,Transition,4.0,2028,1.0918,16595,3208.0,20000.0
0089_433.3,20191.2,2.0,Suburban,4.0,2028,1.0918,18493,0.0,18500.0
0090_000.0,10451.8,3.0,Urban,4.0,2028,1.0946,9548,2818.0,12500.0
0090_000.2,10940.5,3.0,Suburban,4.0,2028,1.0924,10015,2236.0,12500.0
0090_000.5,8490.6,3.0,Transition,4.0,2028,1.0918,7776,-3266.0,4500.0
0091_000.1,26890.7,2.0,Transition,4.0,2028,1.0918,24629,861.0,25500.0
0091_001.0,28827.7,2.0,Suburban,4.0,2028,1.0924,26389,218.0,26500.0
0091_001.4,17595.3,2.0,Suburban,4.0,2028,1.0924,16107,10834.0,27000.0
0091_001.6,17183.2,2.0,Suburban,4.0,2028,1.0924,15729,11096.0,27000.0
0091_002.0,17709.4,2.0,Suburban,4.0,2028,1.0924,16211,10156.0,26500.0
0092_000.0,21419.6,2.0,Urban,4.0,2028,1.0946,19568,1278.0,21000.0
0092_000.1,55662.8,2.0,Urban,8.0,2028,1.0946,50852,0.0,51000.0
0092_000.5,58537.9,2.0,Urban,8.0,2028,1.0946,53478,-25325.0,28000.0
0092_000.8,70243.4,32.0,Urban,7.0,2028,1.0924,64301,-38968.0,25500.0
0092_001.4,43028.9,32.0,Suburban,6.0,2028,1.0924,39389,-10686.0,28500.0
0092_002.4,66262.0,32.0,Suburban,8.0,2028,1.0924,60657,-30542.0,30000.0
0092_003.4,33060.7,2.0,Suburban,7.0,2028,1.0924,30264,-2683.0,27500.0
0092_003.9,38744.6,2.0,Suburban,5.0,2028,1.0918,35486,-8172.0,27500.0
0092_004.9,23613.8,2.0,Suburban,4.0,2028,1.0924,21616,-476.0,21000.0
0092_005.8,16435.8,2.0,Suburban,4.0,2028,1.0924,15045,1099.0,16000.0
0092_006.4,4799.4,3.0,Transition,2.0,2028,1.0918,4395,6285.0,10500.0
0092_007.3,4179.0,3.0,Transition,2.0,2028,1.0924,3825,6788.0,10500.0
0093_000.0,25772.6,2.0,Suburban,4.0,2028,1.0946,23545,8579.0,32000.0
0093_000.1,36819.0,2.0,Urban,4.0,2028,1.0946,33636,56.0,33500.0
0097_000.0,5479.4,3.0,Transition,2.0,2028,1.0918,5018,7090.0,12000.0
0097_000.5,9470.1,3.0,Transition,2.0,2028,1.0918,8673,4368.0,13000.0
0097_001.1,9087.3,3.0,Transition,2.0,2028,1.0924,8318,4346.0,12500.0
0097_001.5,13101.4,3.0,Transition,2.0,2028,1.0924,11993,2024.0,14000.0
0097_002.0,20052.7,3.0,Suburban,2.0,2028,1.0924,18356,-710.0,17500.0
0097_003.1,28037.6,3.0,Suburban,4.0,2028,1.0924,25666,431.0,26000.0
0097_003.6,31277.5,3.0,Suburban,4.0,2028,1.0924,28631,-1375.0,27500.0
0097_004.1,34739.5,3.0,Suburban,4.0,2028,1.0924,31801,-3282.0,28500.0
0097_004.4,38755.8,3.0,Suburban,4.0,2028,1.0946,35406,-3216.0,32000.0
0097_005.1,52374.8,2.0,Urban,6.0,2028,1.0946,47848,-10755.0,37000.0
0097_005.3,41602.1,4.0,Urban,4.0,2028,1.0924,38083,14195.0,52500.0
0103_000.0,54347.1,3.0,Urban,4.0,2028,1.0924,49750,-40412.0,9300.0
0104_000.0,13403.2,3.0,Suburban,4.0,2028,1.0924,12269,6394.0,18500.0
0104_000.7,22895.6,3.0,Suburban,4.0,2028,1.0924,20958,5656.0,26500.0
0104_001.0,14171.3,3.0,Suburban,4.0,2028,1.0924,12972,6912.0,20000.0
0104_001.8,6832.4,3.0,Urban,2.0,2028,1.0924,6254,6526.0,13000.0
0104_002.5,7333.4,3.0,Urban,2.0,2028,1.0946,6699,4318.0,11000.0
0105_000.0,11461.7,3.0,Urban,4.0,2028,1.0946,10471,1856.0,12500.0
0105_000.2,13255.4,3.0,Urban,4.0,2028,1.0946,12109,-5559.0,6600.0
0105_000.5,46189.8,3.0,Urban,4.0,2028,1.0946,42197,-20539.0,21500.0
0105_000.7,31907.2,3.0,Urban,4.0,2028,1.0946,29149,-8481.0,20500.0
0105_000.8,23120.6,3.0,Urban,4.0,2028,1.0946,21122,-1415.0,19500.0
0106_000.0,9474.1,4.0,Suburban,2.0,2028,1.0924,8672,1860.0,10500.0
0106_000.3,20041.7,3.0,Urban,4.0,2028,1.0924,18346,-7441.0,11000.0
0106_000.4,24739.8,3.0,Urban,4.0,2028,1.0946,22601,-1639.0,21000.0
0106_000.8,16757.3,3.0,Urban,4.0,2028,1.0946,15309,5273.0,20500.0
0106_001.1,7264.3,3.0,Urban,2.0,2028,1.0946,6636,8772.0,15500.0
0106_002.0,11978.1,3.0,Suburban,2.0,2028,1.0946,10942,5911.0,17000.0
0106_002.5,12156.2,3.0,Urban,2.0,2028,1.0924,11127,5976.0,17000.0
0106_003.0,13992.6,3.0,Urban,2.0,2028,1.0924,12809,-2256.0,10500.0
0106_003.6,11287.2,3.0,Suburban,2.0,2028,1.0924,10332,709.0,11000.0
0106_006.1,10456.5,3.0,Suburban,2.0,2028,1.0924,9572,-322.0,9200.0
0106_007.3,12483.1,3.0,Urban,2.0,2028,1.0946,11404,962.0,12500.0
0106_008.0,12193.4,3.0,Urban,2.0,2028,1.0946,11139,1559.0,12500.0
0106_008.3,6995.0,3.0,Urban,2.0,2028,1.0946,6390,6184.0,12500.0
0106_009.0,10184.5,4.0,Urban,2.0,2028,1.0924,9323,3591.0,13000.0
0106_009.4,11706.8,4.0,Urban,2.0,2028,1.0924,10716,1530.0,12000.0
0107_000.0,3601.0,4.0,Transition,2.0,2028,1.0918,3298,6543.0,9800.0
0107_000.2,6043.7,4.0,Transition,2.0,2028,1.0924,5532,5253.0,11000.0
0108_000.0,42758.8,3.0,Urban,4.0,2028,1.0946,39063,24688.0,64000.0
0108_000.1,44999.3,2.0,Urban,6.0,2028,1.0946,41110,18758.0,60000.0
0108_000.7,41544.3,2.0,Urban,4.0,2028,1.0946,37953,-2831.0,35000.0
0108_001.0,39876.9,2.0,Urban,4.0,2028,1.0924,36503,4706.0,41000.0
0108_002.0,20054.8,2.0,Urban,4.0,2028,1.0946,18321,13298.0,31500.0
0108_002.5,31201.7,2.0,Suburban,4.0,2028,1.0946,28505,6644.0,35000.0
0108_003.0,24766.8,2.0,Suburban,4.0,2028,1.0924,22671,4790.0,27500.0
0108_004.0,28376.3,2.0,Suburban,4.0,2028,1.0924,25976,-4223.0,22000.0
0108_005.0,26808.8,2.0,Suburban,4.0,2028,1.0924,24541,6156.0,30500.0
0108_005.5,33344.8,2.0,Suburban,4.0,2028,1.0924,30524,3837.0,34500.0
0108_006.0,28384.2,2.0,Suburban,4.0,2028,1.0924,25983,6910.0,33000.0
0108_006.5,32818.3,2.0,Suburban,4.0,2028,1.0924,30042,-2079.0,28000.0
0108_007.0,30859.7,2.0,Suburban,4.0,2028,1.0924,28249,-381.0,28000.0
0108_007.5,20895.6,2.0,Suburban,2.0,2028,1.0924,19128,4511.0,23500.0
0108_008.0,25589.6,2.0,Suburban,2.0,2028,1.0924,23425,248.0,23500.0
0108_008.5,31730.1,2.0,Suburban,4.0,2028,1.0924,29046,3064.0,32000.0
0108_009.0,25118.6,2.0,Suburban,4.0,2028,1.0924,22993,2914.0,26000.0
0108_010.0,26103.4,2.0,Suburban,4.0,2028,1.0924,23895,521.0,24500.0
0108_010.1,16862.5,2.0,Suburban,4.0,2028,1.0924,15436,7191.0,22500.0
0108_010.8,28509.9,2.0,Suburban,4.0,2028,1.0924,26098,-3121.0,23000.0
0108_011.3,30639.1,2.0,Suburban,4.0,2028,1.0924,28047,-4195.0,24000.0
0108_011.6,27283.8,2.0,Suburban,4.0,2028,1.0924,24976,-1952.0,23000.0
0108_012.0,20400.5,2.0,Suburban,2.0,2028,1.0918,18685,-4500.0,14000.0
0108_012.7,29623.8,2.0,Suburban,2.0,2028,1.0918,27132,-12187.0,15000.0
0109_000.0,9904.4,3.0,Suburban,2.0,2028,1.0946,9048,6397.0,15500.0
0109_000.4,15412.5,3.0,Urban,2.0,2028,1.0946,14080,3486.0,17500.0
0109_001.1,8372.2,3.0,Suburban,2.0,2028,1.0924,7664,7722.0,15500.0
0110_000.0,6846.8,3.0,Transition,2.0,2028,1.0918,6271,-377.0,5900.0
0110_001.0,7863.7,3.0,Transition,2.0,2028,1.0918,7202,-1107.0,6100.0
0110_002.0,10326.4,3.0,Transition,2.0,2028,1.0918,9458,-2319.0,7100.0
0110_002.5,10589.3,3.0,Transition,2.0,2028,1.0918,9698,-2606.0,7100.0
0110_003.0,9598.8,3.0,Transition,2.0,2028,1.0918,8791,-1912.0,6900.0
0111_000.0,9225.3,3.0,Suburban,2.0,2028,1.0918,8449,4830.0,13500.0
0111_000.8,9938.2,3.0,Suburban,2.0,2028,1.0918,9102,4838.0,14000.0
0111_001.8,12518.3,3.0,Transition,2.0,2028,1.0918,11465,667.0,12000.0
0111_002.3,15741.9,3.0,Transition,2.0,2028,1.0918,14418,1877.0,16500.0
0111_004.5,19031.5,3.0,Transition,2.0,2028,1.0918,17431,-4624.0,13000.0
0111_004.7,19058.4,3.0,Transition,2.0,2028,1.0918,17455,-4624.0,13000.0
0111_005.8,22444.8,3.0,Transition,4.0,2028,1.0918,20557,-3832.0,16500.0
0111_007.1,22535.2,3.0,Transition,4.0,2028,1.012,22267,213.0,22500.0
0111_008.1,26627.5,3.0,Suburban,4.0,2028,1.0924,24375,-2142.0,22000.0
0111_009.1,22938.3,2.0,Suburban,2.0,2028,1.0924,20998,-3659.0,17500.0
0111_009.6,25283.0,2.0,Suburban,2.0,2028,1.0924,23144,-1475.0,21500.0
0111_010.1,28932.0,2.0,Suburban,4.0,2028,1.0924,26484,-4293.0,22000.0
0114_000.0,46614.9,2.0,Urban,4.0,2028,1.0946,42586,-2233.0,40500.0
0114_000.4,59942.0,2.0,Urban,6.0,2028,1.0946,54761,-8400.0,46500.0
0114_000.5,61390.2,2.0,Urban,6.0,2028,1.0946,56084,-10191.0,46000.0
0114_001.1,19071.0,3.0,Suburban,4.0,2028,1.0946,17422,12353.0,30000.0
0114_001.2,15242.2,3.0,Suburban,2.0,2028,1.0924,13952,14816.0,29000.0
0114_001.6,10406.0,3.0,Suburban,2.0,2028,1.0924,9525,3520.0,13000.0
0114_002.2,13218.8,3.0,Suburban,2.0,2028,1.0924,12100,786.0,13000.0
0114_002.3,11438.4,3.0,Suburban,2.0,2028,1.0924,10470,5367.0,16000.0
0114_003.0,9696.4,3.0,Suburban,2.0,2028,1.0924,8876,4113.0,13000.0
0114_003.4,11057.9,3.0,Suburban,2.0,2028,1.0924,10122,3657.0,14000.0
0114_003.8,10431.4,3.0,Urban,2.0,2028,1.0924,9549,4346.0,14000.0
0114_004.7,21724.2,2.0,Urban,4.0,2028,1.0946,19846,1744.0,21500.0
0114_005.0,17301.0,2.0,Urban,4.0,2028,1.0946,15805,-689.0,15000.0
0114_005.3,17179.8,2.0,Urban,4.0,2028,1.0946,15695,-153.0,15500.0
0114_005.8,22027.8,2.0,Urban,4.0,2028,1.0924,20164,-999.0,19000.0
0114_006.1,18793.5,2.0,Urban,4.0,2028,1.0946,17169,483.0,17500.0
0114_006.6,11799.0,2.0,Urban,4.0,2028,1.0946,10779,11893.0,22500.0
0114_007.1,9642.5,2.0,Urban,4.0,2028,1.0924,8826,13486.0,22500.0
0114_007.6,17180.3,2.0,Urban,4.0,2028,1.0924,15727,5212.0,21000.0
0114_008.2,17926.4,2.0,Urban,4.0,2028,1.0924,16410,4439.0,21000.0
0114_008.6,26602.5,2.0,Suburban,4.0,2028,1.0924,24352,-1379.0,23000.0
0114_009.1,27331.8,2.0,Suburban,4.0,2028,1.0946,24969,-2257.0,22500.0
0114_010.3,22588.1,2.0,Urban,4.0,2028,1.0946,20635,-5342.0,15500.0
0114_010.6,18749.7,2.0,Urban,4.0,2028,1.0946,17129,-1970.0,15000.0
0115_000.0,18436.7,3.0,Suburban,2.0,2028,1.0924,16877,-578.0,16500.0
0115_000.3,20529.2,3.0,Suburban,2.0,2028,1.0924,18792,-1900.0,17000.0
0115_000.5,24583.1,3.0,Suburban,3.0,2028,1.0924,22503,-2070.0,20500.0
0115_000.7,12641.8,3.0,Suburban,2.0,2028,1.0918,11578,-6514.0,5100.0
0115_000.9,3744.6,3.0,Transition,2.0,2028,1.0918,3429,503.0,3900.0
0115_001.6,1681.0,3.0,Rural,2.0,2028,0.9593,1752,1834.0,3600.0
0115_002.8,2134.6,3.0,Rural,2.0,2028,0.984,2169,353.0,2500.0
0115_003.7,809.0,3.0,Rural,2.0,2028,0.984,822,148.0,950.0
0115_005.7,1974.0,3.0,Suburban,2.0,2028,1.0924,1807,-70.0,1700.0
0115_006.3,4901.4,3.0,Suburban,2.0,2028,1.0918,4489,-271.0,4200.0
0115_007.1,6655.9,3.0,Suburban,2.0,2028,1.0924,6092,-220.0,5900.0
0115_007.7,9303.6,3.0,Urban,2.0,2028,1.0946,8499,-3776.0,4700.0
0126_000.0,31318.4,2.0,Suburban,4.0,2028,1.0946,28611,-7549.0,21000.0
0126_000.2,34263.6,2.0,Suburban,4.0,2028,1.0924,31365,-5462.0,26000.0
0126_000.3,15421.6,3.0,Urban,4.0,2028,1.0924,14117,5834.0,20000.0
0126_000.6,22172.3,3.0,Urban,4.0,2028,1.0946,20256,2877.0,23000.0
0126_000.8,13994.4,3.0,Urban,4.0,2028,1.0946,12784,10776.0,23500.0
0126_001.7,22022.1,3.0,Urban,4.0,2028,1.0946,20118,2400.0,22500.0
0126_001.9,14584.0,3.0,Urban,4.0,2028,1.0946,13323,8776.0,22000.0
0126_002.3,18391.3,3.0,Urban,4.0,2028,1.0946,16801,5256.0,22000.0
0126_003.3,15833.4,3.0,Urban,4.0,2028,1.0946,14465,4262.0,18500.0
0126_003.8,15494.6,3.0,Urban,4.0,2028,1.0946,14155,3293.0,17500.0
0126_004.6,19578.9,3.0,Urban,4.0,2028,1.0946,17886,1307.0,19000.0
0126_005.2,20861.2,3.0,Urban,4.0,2028,1.0946,19058,-11.0,19000.0
0126_005.4,35305.0,3.0,Urban,4.0,2028,1.0924,32318,-13134.0,19000.0
0126_005.7,45464.6,3.0,Urban,4.0,2028,1.0924,41619,-11806.0,30000.0
0126_006.1,21145.6,3.0,Urban,4.0,2028,1.0924,19357,-696.0,18500.0
0126_006.2,15125.2,3.0,Urban,4.0,2028,1.0924,13845,2204.0,16000.0
0126_006.7,14065.4,2.0,Urban,4.0,2028,1.0924,12875,4513.0,17500.0
0126_007.2,23177.7,2.0,Suburban,4.0,2028,1.0924,21217,1188.0,22500.0
0126_007.7,22998.1,2.0,Urban,4.0,2028,1.0924,21052,-1414.0,19500.0
0126_008.2,21364.7,2.0,Urban,4.0,2028,1.0924,19557,-6713.0,13000.0
0126_008.7,44771.1,2.0,Urban,5.0,2028,1.0946,40901,-2332.0,38500.0
0126_009.1,32868.9,2.0,Urban,4.0,2028,1.0946,30028,10954.0,41000.0
0126_009.2,27692.7,2.0,Urban,4.0,2028,1.0946,25299,944.0,26000.0
0126_009.7,29607.1,2.0,Suburban,4.0,2028,1.0924,27102,749.0,28000.0
0126_010.2,34223.8,2.0,Suburban,4.0,2028,1.0924,31329,-4681.0,26500.0
0126_010.7,24517.8,2.0,Suburban,4.0,2028,1.0924,22443,3148.0,25500.0
0126_011.2,19594.8,2.0,Suburban,4.0,2028,1.0924,17937,66.0,18000.0
0126_011.7,21054.2,2.0,Suburban,4.0,2028,1.0924,19273,4069.0,23500.0
0126_012.7,19671.3,2.0,Suburban,4.0,2028,1.0918,18017,4266.0,22500.0
0126_013.3,18529.3,2.0,Suburban,4.0,2028,1.0924,16962,-3222.0,13500.0
0126_013.7,16553.1,2.0,Suburban,4.0,2028,1.0924,15152,-1849.0,13500.0
0126_014.5,7501.6,2.0,Suburban,2.0,2028,1.0918,6870,918.0,7800.0
0126_014.9,7806.7,2.0,Transition,2.0,2028,1.0918,7150,587.0,7700.0
0126_016.1,14953.0,2.0,Transition,2.0,2028,1.0918,13695,-5490.0,8200.0
0126_017.5,8868.9,2.0,Transition,2.0,2028,1.0918,8123,-616.0,7500.0
0126_018.7,10727.1,2.0,Transition,2.0,2028,1.0918,9825,1488.0,11500.0
0126_019.7,2958.1,2.0,Transition,2.0,2028,1.0918,2709,7736.0,10500.0
0126_020.8,5061.5,3.0,Rural,2.0,2028,0.9593,5276,5033.0,10500.0
0126_021.2,12096.9,3.0,Rural,2.0,2028,0.9593,12610,-5509.0,7100.0
0127_000.0,10255.3,3.0,Transition,2.0,2028,1.0918,9393,7766.0,17000.0
0127_001.5,20341.5,3.0,Suburban,4.0,2028,1.0918,18631,645.0,19500.0
0127_001.7,13400.3,2.0,Suburban,4.0,2028,1.0924,12266,7002.0,19500.0
0129_000.0,16841.7,2.0,Urban,4.0,2028,1.0946,15386,226.0,15500.0
0129_000.5,18100.0,2.0,Urban,4.0,2028,1.0946,16535,8141.0,24500.0
0129_001.4,27619.0,2.0,Urban,4.0,2028,1.0946,25232,3515.0,28500.0
0129_001.8,26617.7,2.0,Urban,4.0,2028,1.0946,24317,-5690.0,18500.0
0129_003.0,33271.2,2.0,Urban,4.0,2028,1.0946,30395,-10643.0,20000.0
0129_003.3,28303.7,2.0,Suburban,4.0,2028,1.0946,25857,-9153.0,16500.0
0129_003.9,26410.9,2.0,Suburban,4.0,2028,1.0924,24176,-7292.0,17000.0
0129_004.5,24726.8,2.0,Suburban,4.0,2028,1.0924,22635,-11880.0,11000.0
0129_005.8,25286.4,2.0,Suburban,4.0,2028,1.0924,23147,-11968.0,11000.0
0129_006.1,23166.6,2.0,Suburban,4.0,2028,1.0924,21207,-9622.0,11500.0
0131_001.5,17162.4,3.0,Transition,2.0,2028,1.0924,15710,-2821.0,13000.0
0131_001.7,17886.5,3.0,Suburban,2.0,2028,1.0924,16373,-6454.0,9900.0
0134_000.0,11337.2,3.0,Transition,2.0,2028,1.0918,10383,400.0,11000.0
0134_001.0,10461.3,3.0,Transition,2.0,2028,0.9593,10905,1397.0,12500.0
0134_002.0,10213.3,3.0,Rural,2.0,2028,0.9593,10646,-992.0,9700.0
0134_003.0,7336.9,3.0,Rural,2.0,2028,0.9593,7648,1076.0,8700.0
0134_003.8,7038.0,3.0,Rural,2.0,2028,0.9593,7336,-1751.0,5600.0
0134_006.5,7317.1,3.0,Transition,2.0,2028,1.0918,6701,-937.0,5800.0
0134_007.1,6310.3,3.0,Transition,2.0,2028,1.0918,5779,-253.0,5500.0
0134_007.4,7896.5,3.0,Transition,2.0,2028,1.0918,7232,-2054.0,5200.0
0134_007.8,6786.1,3.0,Transition,2.0,2028,0.0,0,0.0,0.0
0134_008.5,6461.3,3.0,Transition,2.0,2028,1.0918,5918,-448.0,5500.0
0134_009.2,8599.1,3.0,Transition,2.0,2028,1.0918,7876,-61.0,7800.0
0134_010.5,11525.3,3.0,Transition,2.0,2028,1.0918,10556,-2793.0,7800.0
0134_011.3,36479.1,2.0,Suburban,4.0,2028,1.0918,33411,-3898.0,29500.0
0134_011.9,33924.1,2.0,Suburban,4.0,2028,1.0918,31071,1130.0,32000.0
0134_012.4,21307.2,3.0,Suburban,4.0,2028,1.0918,19515,484.0,20000.0
0134_012.5,18433.4,3.0,Suburban,4.0,2028,1.0918,16883,3010.0,20000.0
0134_013.1,14616.6,3.0,Suburban,4.0,2028,1.0924,13380,8163.0,21500.0
0135_000.1,0.0,4.0,Urban,2.0,2028,1.0924,0,3168.0,3200.0
0135_000.2,18192.4,2.0,Urban,4.0,2028,1.0924,16653,-9314.0,7300.0
0135_000.4,49101.2,2.0,Urban,4.0,2028,1.0924,44948,-7746.0,37000.0
0140_000.0,17338.3,3.0,Suburban,2.0,2028,1.0924,15871,-9835.0,6000.0
0140_000.5,37614.9,3.0,Suburban,4.0,2028,1.0924,34433,-20116.0,14500.0
0140_000.8,40542.6,3.0,Urban,6.0,2028,1.0924,37113,-22661.0,14500.0
0141_000.0,954.8,3.0,Rural,2.0,2028,0.984,970,-337.0,650.0
0141_000.9,1203.9,3.0,Rural,2.0,2028,0.984,1223,-562.0,650.0
0141_002.2,3687.9,3.0,Rural,2.0,2028,0.984,3747,-1441.0,2300.0
0141_003.2,1872.1,3.0,Rural,1.0,2028,0.984,1902,186.0,2100.0
0141_003.5,3687.9,3.0,Rural,2.0,2028,0.984,3747,-1441.0,2300.0
0141_004.1,1734.2,3.0,Rural,2.0,2028,0.984,1762,164.0,1900.0
0141_005.2,1572.2,3.0,Rural,2.0,2028,0.984,1597,306.0,1900.0
0141_006.0,1572.2,3.0,Rural,2.0,2028,0.984,1597,306.0,1900.0
0145_000.0,15206.5,15.0,Suburban,4.0,2028,1.0924,13920,15217.0,29000.0
0145_001.1,47180.1,15.0,Suburban,4.0,2028,1.0924,43189,-12794.0,30500.0
0145_001.4,54213.1,15.0,Suburban,4.0,2028,1.0918,49654,-13914.0,35500.0
0145_002.8,44482.6,15.0,Suburban,4.0,2028,1.0918,40742,-10422.0,30500.0
0145_003.3,46267.8,15.0,Suburban,4.0,2028,1.0924,42354,-11572.0,31000.0
0145_003.8,43370.4,15.0,Suburban,4.0,2028,1.0924,39701,-7975.0,31500.0
0145_004.4,48652.1,15.0,Suburban,4.0,2028,1.0924,44536,-11932.0,32500.0
0145_004.8,50611.2,15.0,Suburban,4.0,2028,1.0918,46355,6715.0,53000.0
0145_005.3,50216.6,15.0,Suburban,6.0,2028,1.0924,45969,7135.0,53000.0
0145_005.8,57365.0,15.0,Suburban,6.0,2028,1.0924,52512,-15974.0,36500.0
0145_006.2,57882.1,15.0,Urban,6.0,2028,1.0924,52986,-16254.0,36500.0
0145_006.6,45072.5,2.0,Suburban,6.0,2028,1.0946,41177,864.0,42000.0
0147_000.0,837.0,3.0,Rural,2.0,2028,0.984,850,-93.0,750.0
0147_001.0,382.1,3.0,Rural,2.0,2028,0.984,388,229.0,600.0
0147_003.1,433.0,3.0,Rural,2.0,2028,0.984,440,153.0,600.0
0147_003.9,434.6,3.0,Rural,2.0,2028,0.984,441,494.0,950.0
0147_004.8,647.3,3.0,Rural,2.0,2028,0.984,657,232.0,900.0
0147_005.9,1123.1,3.0,Rural,2.0,2028,0.984,1141,509.0,1600.0
0147_006.9,1372.0,3.0,Rural,2.0,2028,0.984,1394,707.0,2100.0
0147_008.1,868.5,4.0,Rural,2.0,2028,0.984,882,1410.0,2300.0
0147_008.8,1392.3,4.0,Rural,2.0,2028,0.984,1414,996.0,2400.0
0147_010.3,1850.5,4.0,Rural,2.0,2028,1.0918,1694,894.0,2600.0
0147_011.8,5118.0,3.0,Urban,2.0,2028,1.0946,4675,609.0,5300.0
0147_012.1,2960.8,3.0,Urban,2.0,2028,1.0946,2704,9281.0,12000.0
0147_012.4,4801.3,3.0,Urban,2.0,2028,1.0946,4386,7098.0,11500.0
0147_012.7,4833.5,3.0,Urban,2.0,2028,1.0924,4424,6844.0,11500.0
0147_012.9,11266.1,3.0,Suburban,2.0,2028,1.0924,10313,649.0,11000.0
0147_013.2,7066.0,3.0,Suburban,2.0,2028,1.0924,6468,75.0,6500.0
0147_013.4,7597.4,3.0,Suburban,2.0,2028,1.0924,6954,-529.0,6400.0
0147_014.4,3052.0,3.0,Suburban,2.0,2028,1.0918,2795,6316.0,9100.0
0147_015.2,2312.2,4.0,Transition,2.0,2028,1.0918,2117,1565.0,3700.0
0147_016.2,2100.0,4.0,Transition,2.0,2028,1.0918,1923,-28.0,1900.0
